AI,Rrup,Mw,Vs30,zh,
0.020477245,85.89940439,6.1,243.39799,1,1
0.006138245,79.4391103,6.1,363.31973,2,1
0.044599387,68.68315941,6.1,206.55794,3,1
0.042957321,49.13109787,6.1,336.31079,4,1
0.01997272,41.22424243,6.1,480.68826,5,1
0.060060126,53.04433537,6.1,243.66833,6,1
0.099373828,56.80834063,6.1,248.68715,7,1
0.014905261,78.81598153,6.1,127.1408,8,1
0.031745578,65.0173896,6.1,131.13963,9,1
0.124478091,41.61656253,6.1,245.74942,10,1
0.171826343,51.83552703,6.1,275.56555,11,1
0.029338834,58.70999868,6.1,290.70941,12,1
0.073124496,71.42686518,6.1,185.37057,13,1
0.032099415,84.13129931,6.1,171.66423,14,1
0.074877716,61.73543883,6.1,166.97049,15,1
0.030574491,77.31592145,6.1,255.86218,16,1
0.011674825,74.28284179,6.1,389.23804,17,1
0.016958584,103.0227158,6.1,144.11224,18,1
0.015274442,87.29736106,6.1,165.19353,19,1
0.012402214,90.784659,6.1,307.31921,20,1
0.014539201,66.37099102,6.1,215.21594,21,1
0.004052046,124.5912558,6.1,228.0233,22,1
0.002392657,113.7285911,6.1,432.8886,23,1
0.006601498,102.5326584,6.1,274.5092,24,1
0.013040838,99.55655595,6.1,333.0297,25,1
0.014664531,92.01696216,6.1,265.5409,26,1
0.010321616,80.24008058,6.1,307.42,27,1
0.006929492,90.71753889,6.1,203.2111,28,1
0.008688038,79.90296305,6.1,238.2027,29,1
0.018508646,74.66671572,6.1,246.7284,30,1
0.025458306,65.63063006,6.1,274.122,31,1
0.01267319,71.15303406,6.1,270.7708,32,1
0.006397536,88.08382491,6.1,218.1334,33,1
0.017363828,72.18601728,6.1,281.2124,34,1
0.035142745,58.46457397,6.1,258.5682,35,1
0.024168361,50.22864636,6.1,291.7127,36,1
0.012814771,95.15546761,6.1,136.088,37,1
0.018316602,102.8052518,6.1,119.6667,38,1
0.009325586,113.0431313,6.1,458.2165,39,1
0.010588292,146.1703796,6.1,99.70285,40,1
0.007711967,102.8698323,6.1,89.19601,41,1
0.015688579,95.12939828,6.1,156.3224,42,1
0.007350171,101.0582284,6.1,146.4362,43,1
0.009031477,93.51494683,6.1,120.869,44,1
0.00446874,174.1476313,6.1,199.3158,45,1
0.012950913,143.9488965,6.1,256.9584,46,1
0.004350413,105.4431053,6.1,363.2759,47,1
0.012543805,108.1274562,6.1,421.7628,48,1
0.004750808,127.9188268,6.1,253.933,49,1
0.004158239,118.2986363,6.1,321.4917,50,1
0.004380332,95.39574041,6.1,293.7617,51,1
0.010991419,106.2368938,6.2,144.11224,52,2
0.001813862,76.93283179,6.2,309.6915,53,2
0.021747329,61.97106975,6.2,199.3158,54,2
0.002074623,54.24100405,6.2,486.1633,55,2
0.003526555,65.36796317,6.2,211.9324,56,2
0.004527651,100.2805578,6.2,302.2495,57,2
0.004132629,58.9644653,6.2,430.6437,58,2
