AI,r,m,v,,
0.020477243,0.680977785,-0.085714286,0.024039586,1,1
0.006138244,0.651464236,-0.085714286,0.283230671,2,1
0.044599385,0.596546127,-0.085714286,-0.082149165,3,1
0.042957319,0.470086415,-0.085714286,0.233249123,4,1
0.019972719,0.403851915,-0.085714286,0.464357724,5,1
0.060060125,0.499014802,-0.085714286,0.024757839,6,1
0.099373827,0.524892858,-0.085714286,0.0379493,7,1
0.014905261,0.648491582,-0.085714286,-0.396144089,8,1
0.031745576,0.575841716,-0.085714286,-0.37610716,9,1
0.12447809,0.40742729,-0.085714286,0.030260449,10,1
0.171826346,0.490313053,-0.085714286,0.104353985,11,1
0.029338833,0.537322046,-0.085714286,0.138969263,12,1
0.073124484,0.611331963,-0.085714286,-0.152173471,13,1
0.032099414,0.673126904,-0.085714286,-0.201876111,14,1
0.074877675,0.556289612,-0.085714286,-0.219813961,15,1
0.030574491,0.641238002,-0.085714286,0.056352968,16,1
0.011674824,0.626131353,-0.085714286,0.327816172,17,1
0.016958577,0.749593007,-0.085714286,-0.315072859,18,1
0.015274437,0.687071545,-0.085714286,-0.226736799,19,1
0.012402212,0.701857403,-0.085714286,0.174920113,20,1
0.0145392,0.583619775,-0.085714286,-0.055581466,21,1
0.004052046,0.821347455,-0.085714286,-0.018179249,22,1
0.002392649,0.786912524,-0.085714286,0.396588657,23,1
0.006601498,0.747793137,-0.085714286,0.101868898,24,1
0.013040837,0.736674331,-0.085714286,0.226905614,25,1
0.014664529,0.706946798,-0.085714286,0.080377185,26,1
0.010321616,0.655251222,-0.085714286,0.175132282,27,1
0.006929492,0.701578218,-0.085714286,-0.092718812,28,1
0.008688038,0.653661959,-0.085714286,0.010079292,29,1
0.018508646,0.628077037,-0.085714286,0.032832874,30,1
0.025458306,0.579385386,-0.085714286,0.100955605,31,1
0.012673188,0.609882033,-0.085714286,0.092996765,32,1
0.006397537,0.690457029,-0.085714286,-0.046869256,33,1
0.017363828,0.615322777,-0.085714286,0.117478829,34,1
0.035142745,0.535740771,-0.085714286,0.063160088,35,1
0.02416836,0.478426163,-0.085714286,0.141198437,36,1
0.01281477,0.71960709,-0.085714286,-0.352141716,37,1
0.018316593,0.74879537,-0.085714286,-0.435344298,38,1
0.009325575,0.78463052,-0.085714286,0.433379714,39,1
0.010588284,0.881643767,-0.085714286,-0.553437866,40,1
0.007711966,0.749032421,-0.085714286,-0.625489904,41,1
0.015688575,0.71950366,-0.085714286,-0.262451064,42,1
0.007350171,0.742325554,-0.085714286,-0.304722048,43,1
0.009031477,0.713042451,-0.085714286,-0.428875972,44,1
0.004468739,0.947751725,-0.085714286,-0.105241991,45,1
0.01295091,0.875862848,-0.085714286,0.059119196,46,1
0.004350412,0.758358814,-0.085714286,0.28315261,47,1
0.0125438,0.767848303,-0.085714286,0.379741687,48,1
0.004750808,0.831296829,-0.085714286,0.051455923,49,1
0.00415823,0.801784194,-0.085714286,0.204091338,50,1
0.004380332,0.720559043,-0.085714286,0.145727317,51,1
0.010991416,0.761189874,-0.028571429,-0.315072859,52,2
0.001813861,0.639363,-0.028571429,0.179895561,53,2
0.021747325,0.557727623,-0.028571429,-0.105241991,54,2
0.002074622,0.507435995,-0.028571429,0.471685753,55,2
0.003526552,0.577871611,-0.028571429,-0.065529269,56,2
0.004527641,0.739409521,-0.028571429,0.164157307,57,2
0.004132628,0.538954614,-0.028571429,0.393224514,58,2
0.004331875,0.479893693,-0.028571429,0.155513189,59,2
0.377523451,0.059049591,-0.028571429,0.076895605,60,2
0.027092734,0.228090223,-0.028571429,0.217741234,61,2
0.012593979,0.767106631,-0.142857143,-0.435344298,62,3
0.026071196,0.713079069,-0.142857143,0.433379714,63,3
0.00678111,0.752070725,-0.142857143,-0.342470476,64,3
0.007610942,0.674012261,-0.142857143,-0.553437866,65,3
0.001433505,0.615370633,-0.142857143,0.34545599,66,3
0.005819767,0.498539143,-0.142857143,0.179895561,67,3
0.15569177,0.381372854,-0.142857143,-0.105241991,68,3
0.008746049,0.378535093,-0.142857143,0.471685753,69,3
0.017935525,0.461208727,-0.142857143,-0.065529269,70,3
0.001475177,0.543328299,-0.142857143,0.582004954,71,3
0.010883633,0.695183509,-0.142857143,-0.378872745,72,3
0.010827612,0.695382966,-0.142857143,-0.028838773,73,3
0.012165414,0.703318625,-0.142857143,0.164157307,74,3
0.004952668,0.870080779,-0.142857143,0.051455923,75,3
0.00457355,0.803564814,-0.142857143,0.111110093,76,3
0.044479024,0.331766902,-0.142857143,0.393224514,77,3
0.03778103,0.234161872,-0.142857143,0.155513189,78,3
