PGA,R,M,V
1,-1,-0.657142857,0.178449212
2,-0.738351959,-0.657142857,0.178449212
3,-0.585297666,-0.657142857,0.178449212
4,-0.476703917,-0.657142857,0.178449212
5,-0.392472062,-0.657142857,0.178449212
6,-0.323649625,-0.657142857,0.178449212
7,-0.265461083,-0.657142857,0.178449212
8,-0.215055876,-0.657142857,0.178449212
9,-0.170595332,-0.657142857,0.178449212
10,-0.130824021,-0.657142857,0.178449212
11,-0.094846493,-0.657142857,0.178449212
12,-0.062001584,-0.657142857,0.178449212
13,-0.031787196,-0.657142857,0.178449212
14,-0.003813042,-0.657142857,0.178449212
15,0.022230272,-0.657142857,0.178449212
16,0.046592165,-0.657142857,0.178449212
17,0.069476646,-0.657142857,0.178449212
18,0.091052709,-0.657142857,0.178449212
19,0.111461913,-0.657142857,0.178449212
20,0.130824021,-0.657142857,0.178449212
21,0.14924125,-0.657142857,0.178449212
22,0.166801548,-0.657142857,0.178449212
23,0.183581125,-0.657142857,0.178449212
24,0.199646458,-0.657142857,0.178449212
25,0.215055876,-0.657142857,0.178449212
26,0.229860845,-0.657142857,0.178449212
27,0.244107002,-0.657142857,0.178449212
28,0.257834999,-0.657142857,0.178449212
29,0.271081212,-0.657142857,0.178449212
30,0.283878313,-0.657142857,0.178449212
31,0.296255761,-0.657142857,0.178449212
32,0.308240206,-0.657142857,0.178449212
33,0.319855841,-0.657142857,0.178449212
34,0.331124688,-0.657142857,0.178449212
35,0.342066855,-0.657142857,0.178449212
36,0.35270075,-0.657142857,0.178449212
37,0.363043269,-0.657142857,0.178449212
38,0.373109955,-0.657142857,0.178449212
39,0.382915138,-0.657142857,0.178449212
40,0.392472062,-0.657142857,0.178449212
41,0.401792988,-0.657142857,0.178449212
42,0.410889292,-0.657142857,0.178449212
43,0.419771545,-0.657142857,0.178449212
44,0.42844959,-0.657142857,0.178449212
45,0.436932606,-0.657142857,0.178449212
46,0.445229167,-0.657142857,0.178449212
47,0.453347293,-0.657142857,0.178449212
48,0.461294499,-0.657142857,0.178449212
49,0.469077833,-0.657142857,0.178449212
50,0.476703917,-0.657142857,0.178449212
51,0.48417898,-0.657142857,0.178449212
52,0.491508887,-0.657142857,0.178449212
53,0.498699168,-0.657142857,0.178449212
54,0.505755043,-0.657142857,0.178449212
55,0.512681445,-0.657142857,0.178449212
56,0.51948304,-0.657142857,0.178449212
57,0.526164247,-0.657142857,0.178449212
58,0.532729253,-0.657142857,0.178449212
59,0.539182032,-0.657142857,0.178449212
60,0.545526354,-0.657142857,0.178449212
61,0.551765808,-0.657142857,0.178449212
62,0.557903802,-0.657142857,0.178449212
63,0.563943584,-0.657142857,0.178449212
64,0.569888248,-0.657142857,0.178449212
65,0.575740742,-0.657142857,0.178449212
66,0.581503882,-0.657142857,0.178449212
67,0.587180355,-0.657142857,0.178449212
68,0.592772729,-0.657142857,0.178449212
69,0.598283459,-0.657142857,0.178449212
70,0.603714896,-0.657142857,0.178449212
71,0.609069288,-0.657142857,0.178449212
72,0.614348792,-0.657142857,0.178449212
73,0.619555472,-0.657142857,0.178449212
74,0.624691311,-0.657142857,0.178449212
75,0.62975821,-0.657142857,0.178449212
76,0.634757996,-0.657142857,0.178449212
77,0.639692424,-0.657142857,0.178449212
78,0.644563179,-0.657142857,0.178449212
79,0.649371886,-0.657142857,0.178449212
80,0.654120103,-0.657142857,0.178449212
81,0.658809335,-0.657142857,0.178449212
82,0.663441029,-0.657142857,0.178449212
83,0.66801658,-0.657142857,0.178449212
84,0.672537333,-0.657142857,0.178449212
85,0.677004584,-0.657142857,0.178449212
86,0.681419586,-0.657142857,0.178449212
87,0.685783546,-0.657142857,0.178449212
88,0.690097631,-0.657142857,0.178449212
89,0.694362968,-0.657142857,0.178449212
90,0.698580647,-0.657142857,0.178449212
91,0.702751721,-0.657142857,0.178449212
92,0.706877208,-0.657142857,0.178449212
93,0.710958095,-0.657142857,0.178449212
94,0.714995335,-0.657142857,0.178449212
95,0.718989852,-0.657142857,0.178449212
96,0.72294254,-0.657142857,0.178449212
97,0.726854268,-0.657142857,0.178449212
98,0.730725874,-0.657142857,0.178449212
99,0.734558175,-0.657142857,0.178449212
